recipe_title,description,preparation_time,category,instruction,calories,protein,carbs,fats,"list of ingredients used (ingredient_name, quantity, unit, calories)"
Classic Chocolate Chip Cookies (Style #55),"Warm, chewy homemade cookies packed generously with sweet semi-sweet chocolate chips.",19 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Butter). Step 3: Cook or assemble for 19 minutes. Step 4: Finish with remaining toppings and serve immediately.",1110,55g,134g,29g,(All-purpose flour; 100; grams; 364 kcal) | (Butter; 30; grams; 215 kcal) | (Sugar (granulated); 15; grams; 58 kcal) | (Brown sugar; 100; grams; 380 kcal) | (Chocolate chips (semi-sweet); 15; grams; 72 kcal) | (Large egg; 15; grams; 21 kcal)
High-Protein Scramble (Style #56),Fluffy scrambled egg whites and a whole egg paired with nutritious fresh spinach.,8 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Large egg, Egg whites). Step 3: Cook or assemble for 8 minutes. Step 4: Finish with remaining toppings and serve immediately.",517,29g,52g,13g,(Large egg; 150; grams; 214 kcal) | (Egg whites; 30; grams; 16 kcal) | (Spinach (raw); 50; grams; 12 kcal) | (Butter; 30; grams; 215 kcal) | (Cheddar cheese; 15; grams; 60 kcal)
Turkey Club Salad (Style #57),Lean deli turkey strips served over crunchy iceberg lettuce with bacon and tomatoes.,15 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Turkey breast (raw), Bacon (raw)). Step 3: Cook or assemble for 15 minutes. Step 4: Finish with remaining toppings and serve immediately.",292,20g,34g,11g,(Turkey breast (raw); 30; grams; 34 kcal) | (Bacon (raw); 30; grams; 125 kcal) | (Lettuce (iceberg); 30; grams; 4 kcal) | (Tomato; 150; grams; 27 kcal) | (Mayonnaise; 15; grams; 102 kcal)
Vegetarian Tofu Stir-Fry (Style #58),Crispy cubes of firm tofu pan-seared with fresh bell peppers and savory soy sauce.,19 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Tofu (firm), Bell pepper (red)). Step 3: Cook or assemble for 19 minutes. Step 4: Finish with remaining toppings and serve immediately.",1483,105g,189g,49g,(Tofu (firm); 30; grams; 21 kcal) | (Bell pepper (red); 150; grams; 46 kcal) | (Bell pepper (green); 50; grams; 10 kcal) | (Soy sauce; 150; grams; 80 kcal) | (Vegetable oil; 150; grams; 1326 kcal)
Tomato and Mozzarella Caprese (Style #59),Fresh sliced tomatoes paired with soft mozzarella cheese and a drizzle of balsamic vinegar.,5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Tomato, Mozzarella cheese). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",445,20g,51g,17g,(Tomato; 150; grams; 27 kcal) | (Mozzarella cheese; 50; grams; 140 kcal) | (Balsamic vinegar; 15; grams; 13 kcal) | (Olive oil; 30; grams; 265 kcal)
Fudgy Cocoa Brownies (Style #60),"Rich, dense, and intensely chocolatey brownies made using dark cocoa powder.",22 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cocoa powder, Sugar (granulated)). Step 3: Cook or assemble for 22 minutes. Step 4: Finish with remaining toppings and serve immediately.",1513,67g,161g,42g,(Cocoa powder; 100; grams; 228 kcal) | (Sugar (granulated); 100; grams; 387 kcal) | (Butter; 100; grams; 717 kcal) | (All-purpose flour; 30; grams; 109 kcal) | (Large egg; 50; grams; 72 kcal)
High-Protein Scramble (Style #61),Fluffy scrambled egg whites and a whole egg paired with nutritious fresh spinach.,5 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Large egg, Egg whites). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",398,23g,41g,14g,(Large egg; 30; grams; 43 kcal) | (Egg whites; 30; grams; 16 kcal) | (Spinach (raw); 15; grams; 3 kcal) | (Butter; 30; grams; 215 kcal) | (Cheddar cheese; 30; grams; 121 kcal)
Tuna Melt Wrap (Style #62),Flaky canned tuna mixed with creamy mayonnaise and wrapped with a warm blanket of cheddar.,13 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Tuna (canned in water), Mayonnaise). Step 3: Cook or assemble for 13 minutes. Step 4: Finish with remaining toppings and serve immediately.",306,17g,31g,9g,(Tuna (canned in water); 30; grams; 35 kcal) | (Mayonnaise; 15; grams; 102 kcal) | (Cheddar cheese; 15; grams; 60 kcal) | (All-purpose flour; 30; grams; 109 kcal)
Garlic Butter Salmon (Style #63),Flaky pan-seared salmon fillet basted with a decadent garlic and herb butter sauce.,19 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Salmon fillet (raw), Butter). Step 3: Cook or assemble for 19 minutes. Step 4: Finish with remaining toppings and serve immediately.",1301,89g,152g,39g,(Salmon fillet (raw); 100; grams; 142 kcal) | (Butter; 150; grams; 1076 kcal) | (Garlic; 50; grams; 74 kcal) | (Lemon; 30; grams; 9 kcal)
Cottage Cheese with Berries (Style #64),High-protein cottage cheese topped with fresh raspberries and a light honey drizzle.,5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cottage cheese, Raspberries). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",77,3g,9g,2g,(Cottage cheese; 15; grams; 15 kcal) | (Raspberries; 30; grams; 16 kcal) | (Honey; 15; grams; 46 kcal)
Creamy Rice Pudding (Style #65),"Soft white rice simmered patiently in milk, sugar, and rich vanilla extract until thick.",32 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (White rice (uncooked), Whole milk). Step 3: Cook or assemble for 32 minutes. Step 4: Finish with remaining toppings and serve immediately.",1014,70g,130g,35g,(White rice (uncooked); 15; grams; 54 kcal) | (Whole milk; 150; grams; 92 kcal) | (Sugar (granulated); 150; grams; 580 kcal) | (Vanilla extract; 100; grams; 288 kcal)
Classic French Toast (Style #66),"Golden pan-fried bread dipped in a rich, sweetened egg and dairy custard mixture.",15 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Whole milk). Step 3: Cook or assemble for 15 minutes. Step 4: Finish with remaining toppings and serve immediately.",1216,62g,154g,30g,(All-purpose flour; 100; grams; 364 kcal) | (Whole milk; 150; grams; 92 kcal) | (Large egg; 50; grams; 72 kcal) | (Sugar (granulated); 150; grams; 580 kcal) | (Butter; 15; grams; 108 kcal)
Chicken Rice Bowl (Style #67),Lean grilled chicken breast served over fluffy white rice with a side of steamed broccoli.,20 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), White rice (uncooked)). Step 3: Cook or assemble for 20 minutes. Step 4: Finish with remaining toppings and serve immediately.",1539,79g,160g,43g,(Chicken breast (raw); 15; grams; 18 kcal) | (White rice (uncooked); 30; grams; 108 kcal) | (Broccoli; 100; grams; 34 kcal) | (Soy sauce; 100; grams; 53 kcal) | (Sesame oil; 150; grams; 1326 kcal)
Baked Cod with Asparagus (Style #68),Light and flaky wild cod fillet baked beautifully alongside tender asparagus spears.,23 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cod fillet (raw), Asparagus). Step 3: Cook or assemble for 23 minutes. Step 4: Finish with remaining toppings and serve immediately.",232,14g,30g,7g,(Cod fillet (raw); 30; grams; 25 kcal) | (Asparagus; 150; grams; 30 kcal) | (Olive oil; 15; grams; 133 kcal) | (Lemon; 150; grams; 44 kcal)
Mixed Nuts Energy Mix (Style #69),"A crunchy, nutrient-dense handful of whole almonds, walnuts, and toasted cashews.",5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Almonds, Walnuts). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",907,65g,93g,29g,(Almonds; 15; grams; 87 kcal) | (Walnuts; 100; grams; 654 kcal) | (Cashews; 30; grams; 166 kcal)
Baked Peaches with Honey (Style #70),"Soft, caramelized halved peaches baked with sweet honey and a touch of warm butter.",20 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Peach, Honey). Step 3: Cook or assemble for 20 minutes. Step 4: Finish with remaining toppings and serve immediately.",783,31g,91g,27g,(Peach; 50; grams; 20 kcal) | (Honey; 15; grams; 46 kcal) | (Butter; 100; grams; 717 kcal)
Sweet Potato Hash (Style #71),"A nutritious, comforting morning skillet filled with cubed sweet potatoes and onions.",19 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Sweet potato, Yellow onion). Step 3: Cook or assemble for 19 minutes. Step 4: Finish with remaining toppings and serve immediately.",414,22g,48g,15g,(Sweet potato; 50; grams; 43 kcal) | (Yellow onion; 150; grams; 60 kcal) | (Olive oil; 30; grams; 265 kcal) | (Bell pepper (red); 150; grams; 46 kcal)
Chicken Avocado Salad (Style #72),Crisp romaine lettuce tossed with tender grilled chicken breast and rich avocado chunks.,7 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), Avocado). Step 3: Cook or assemble for 7 minutes. Step 4: Finish with remaining toppings and serve immediately.",1353,84g,174g,39g,(Chicken breast (raw); 150; grams; 180 kcal) | (Avocado; 100; grams; 160 kcal) | (Lettuce (romaine); 100; grams; 100 kcal) | (Olive oil; 100; grams; 884 kcal) | (Lemon; 100; grams; 29 kcal)
Vegetarian Tofu Stir-Fry (Style #73),Crispy cubes of firm tofu pan-seared with fresh bell peppers and savory soy sauce.,21 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Tofu (firm), Bell pepper (red)). Step 3: Cook or assemble for 21 minutes. Step 4: Finish with remaining toppings and serve immediately.",294,18g,34g,10g,(Tofu (firm); 100; grams; 70 kcal) | (Bell pepper (red); 15; grams; 5 kcal) | (Bell pepper (green); 30; grams; 6 kcal) | (Soy sauce; 150; grams; 80 kcal) | (Vegetable oil; 15; grams; 133 kcal)
Celery and Peanut Butter (Style #74),"Crispy, refreshing celery stalks filled with rich, savory peanut butter.",5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Celery, Peanut butter). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",184,11g,21g,6g,(Celery; 50; grams; 8 kcal) | (Peanut butter; 30; grams; 176 kcal)
Baked Peaches with Honey (Style #75),"Soft, caramelized halved peaches baked with sweet honey and a touch of warm butter.",20 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Peach, Honey). Step 3: Cook or assemble for 20 minutes. Step 4: Finish with remaining toppings and serve immediately.",364,23g,40g,12g,(Peach; 150; grams; 58 kcal) | (Honey; 30; grams; 91 kcal) | (Butter; 30; grams; 215 kcal)
High-Protein Scramble (Style #76),Fluffy scrambled egg whites and a whole egg paired with nutritious fresh spinach.,9 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Large egg, Egg whites). Step 3: Cook or assemble for 9 minutes. Step 4: Finish with remaining toppings and serve immediately.",446,18g,50g,11g,(Large egg; 150; grams; 214 kcal) | (Egg whites; 100; grams; 52 kcal) | (Spinach (raw); 50; grams; 12 kcal) | (Butter; 15; grams; 108 kcal) | (Cheddar cheese; 15; grams; 60 kcal)
Egg Salad Salad (Style #77),Rich chopped hard-boiled eggs mashed with mayonnaise and served over fresh salad greens.,8 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Large egg, Mayonnaise). Step 3: Cook or assemble for 8 minutes. Step 4: Finish with remaining toppings and serve immediately.",386,24g,48g,9g,(Large egg; 150; grams; 214 kcal) | (Mayonnaise; 15; grams; 102 kcal) | (Lettuce (romaine); 50; grams; 50 kcal) | (Yellow onion; 50; grams; 20 kcal)
Turkey Rice Casserole (Style #78),Savory ground turkey combined with wholesome brown rice and sweet green peas.,23 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ground turkey, Brown rice (uncooked)). Step 3: Cook or assemble for 23 minutes. Step 4: Finish with remaining toppings and serve immediately.",312,15g,42g,7g,(Ground turkey; 150; grams; 214 kcal) | (Brown rice (uncooked); 15; grams; 54 kcal) | (Green peas; 30; grams; 24 kcal) | (Yellow onion; 50; grams; 20 kcal)
Tomato and Mozzarella Caprese (Style #79),Fresh sliced tomatoes paired with soft mozzarella cheese and a drizzle of balsamic vinegar.,9 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Tomato, Mozzarella cheese). Step 3: Cook or assemble for 9 minutes. Step 4: Finish with remaining toppings and serve immediately.",1063,47g,119g,36g,(Tomato; 30; grams; 5 kcal) | (Mozzarella cheese; 15; grams; 42 kcal) | (Balsamic vinegar; 150; grams; 132 kcal) | (Olive oil; 100; grams; 884 kcal)
Sweet Maple Pumpkin Puree (Style #80),"A comforting, warm dessert bowl of smooth pumpkin sweetened elegantly with maple syrup.",5 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Pumpkin (puree), Maple syrup). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",266,20g,33g,7g,(Pumpkin (puree); 100; grams; 34 kcal) | (Maple syrup; 50; grams; 130 kcal) | (Heavy cream; 30; grams; 102 kcal)
Avocado Toast (Style #81),Creamy smashed avocado over toasted whole wheat or simple bread alternatives.,6 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Avocado, All-purpose flour). Step 3: Cook or assemble for 6 minutes. Step 4: Finish with remaining toppings and serve immediately.",295,12g,34g,11g,(Avocado; 30; grams; 48 kcal) | (All-purpose flour; 30; grams; 109 kcal) | (Olive oil; 15; grams; 133 kcal) | (Tomato; 30; grams; 5 kcal)
Chicken Avocado Salad (Style #82),Crisp romaine lettuce tossed with tender grilled chicken breast and rich avocado chunks.,8 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), Avocado). Step 3: Cook or assemble for 8 minutes. Step 4: Finish with remaining toppings and serve immediately.",1006,49g,114g,34g,(Chicken breast (raw); 15; grams; 18 kcal) | (Avocado; 50; grams; 80 kcal) | (Lettuce (romaine); 15; grams; 15 kcal) | (Olive oil; 100; grams; 884 kcal) | (Lemon; 30; grams; 9 kcal)
Ribeye Steak and Potatoes (Style #83),"A premium, juicy ribeye steak seared to perfection and paired with a fluffy baked potato.",34 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ribeye steak (raw), Russet potato). Step 3: Cook or assemble for 34 minutes. Step 4: Finish with remaining toppings and serve immediately.",348,25g,40g,9g,(Ribeye steak (raw); 30; grams; 87 kcal) | (Russet potato; 30; grams; 24 kcal) | (Butter; 30; grams; 215 kcal) | (Garlic; 15; grams; 22 kcal)
Yogurt Berry Crunch (Style #84),Smooth Greek yogurt topped with fresh blueberries and crunchy chia seeds.,5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Greek yogurt (plain, non-fat), Blueberries). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",188,8g,21g,5g,"(Greek yogurt (plain, non-fat); 30; grams; 30 kcal) | (Blueberries; 150; grams; 85 kcal) | (Chia seeds; 15; grams; 73 kcal)"
Crispy Coconut Flakes Truffles (Style #85),Delectable sweet dessert bites featuring rich coconut oil and toasted coconut flakes.,18 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Coconut flakes (unsweetened), Coconut oil). Step 3: Cook or assemble for 18 minutes. Step 4: Finish with remaining toppings and serve immediately.",1751,116g,177g,55g,(Coconut flakes (unsweetened); 30; grams; 198 kcal) | (Coconut oil; 150; grams; 1293 kcal) | (Maple syrup; 100; grams; 260 kcal)
Peanut Butter Banana Oats (Style #86),"Thick, creamy oatmeal swirled with rich peanut butter and sweet sliced banana.",5 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Rolled oats, Whole milk). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",473,27g,61g,17g,(Rolled oats; 50; grams; 190 kcal) | (Whole milk; 30; grams; 18 kcal) | (Peanut butter; 30; grams; 176 kcal) | (Banana; 100; grams; 89 kcal)
Spinach and Feta Salad (Style #87),Crisp spinach greens tossed with tangy crumbles of feta cheese and roasted sunflower seeds.,8 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Spinach (raw), Feta cheese). Step 3: Cook or assemble for 8 minutes. Step 4: Finish with remaining toppings and serve immediately.",1875,110g,200g,65g,(Spinach (raw); 100; grams; 23 kcal) | (Feta cheese; 30; grams; 79 kcal) | (Sunflower seeds (hulled); 150; grams; 876 kcal) | (Olive oil; 100; grams; 884 kcal) | (Balsamic vinegar; 15; grams; 13 kcal)
Beef and Broccoli Stir-Fry (Style #88),Tender strips of lean beef stir-fried with crisp broccoli florets in a savory soy sauce.,25 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Sirloin steak (raw), Broccoli). Step 3: Cook or assemble for 25 minutes. Step 4: Finish with remaining toppings and serve immediately.",971,69g,119g,28g,(Sirloin steak (raw); 15; grams; 21 kcal) | (Broccoli; 100; grams; 34 kcal) | (Soy sauce; 15; grams; 8 kcal) | (Ginger root; 30; grams; 24 kcal) | (Sesame oil; 100; grams; 884 kcal)
Guacamole and Cucumber (Style #89),"Crisp, hydrating cucumber rounds used to scoop up creamy seasoned avocado mash.",9 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Avocado, Cucumber). Step 3: Cook or assemble for 9 minutes. Step 4: Finish with remaining toppings and serve immediately.",43,3g,6g,1g,(Avocado; 15; grams; 24 kcal) | (Cucumber; 100; grams; 15 kcal) | (Lime; 15; grams; 4 kcal)
Dark Chocolate Berry Bark (Style #90),Decadent melted 70% dark chocolate topped with naturally sweet freeze-dried raspberries.,10 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Dark chocolate (70%), Raspberries). Step 3: Cook or assemble for 10 minutes. Step 4: Finish with remaining toppings and serve immediately.",116,5g,14g,3g,(Dark chocolate (70%); 15; grams; 90 kcal) | (Raspberries; 50; grams; 26 kcal)
Cheesy Bacon Omelet (Style #91),A classic hearty three-egg omelet loaded with crispy bacon and melted cheddar.,7 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Large egg, Bacon (raw)). Step 3: Cook or assemble for 7 minutes. Step 4: Finish with remaining toppings and serve immediately.",1589,80g,176g,48g,(Large egg; 100; grams; 143 kcal) | (Bacon (raw); 30; grams; 125 kcal) | (Cheddar cheese; 150; grams; 604 kcal) | (Butter; 100; grams; 717 kcal)
Classic BLT (Style #92),Crispy smoked bacon slices layered with fresh tomatoes and crisp iceberg lettuce.,6 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Bacon (raw), Tomato). Step 3: Cook or assemble for 6 minutes. Step 4: Finish with remaining toppings and serve immediately.",1808,126g,246g,64g,(Bacon (raw); 100; grams; 417 kcal) | (Tomato; 15; grams; 3 kcal) | (Lettuce (iceberg); 30; grams; 4 kcal) | (Mayonnaise; 150; grams; 1020 kcal) | (All-purpose flour; 100; grams; 364 kcal)
Chicken Alfredo Pasta (Style #93),Tender grilled chicken tossed with fettuccine or egg noodles in a rich heavy cream sauce.,24 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), Egg noodles (dry)). Step 3: Cook or assemble for 24 minutes. Step 4: Finish with remaining toppings and serve immediately.",725,52g,88g,22g,(Chicken breast (raw); 15; grams; 18 kcal) | (Egg noodles (dry); 30; grams; 114 kcal) | (Heavy cream; 50; grams; 170 kcal) | (Parmesan cheese (grated); 15; grams; 65 kcal) | (Butter; 50; grams; 358 kcal)
Mixed Nuts Energy Mix (Style #94),"A crunchy, nutrient-dense handful of whole almonds, walnuts, and toasted cashews.",5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Almonds, Walnuts). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",967,62g,126g,37g,(Almonds; 15; grams; 87 kcal) | (Walnuts; 50; grams; 327 kcal) | (Cashews; 100; grams; 553 kcal)
Creamy Rice Pudding (Style #95),"Soft white rice simmered patiently in milk, sugar, and rich vanilla extract until thick.",32 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (White rice (uncooked), Whole milk). Step 3: Cook or assemble for 32 minutes. Step 4: Finish with remaining toppings and serve immediately.",343,25g,45g,9g,(White rice (uncooked); 15; grams; 54 kcal) | (Whole milk; 15; grams; 9 kcal) | (Sugar (granulated); 50; grams; 194 kcal) | (Vanilla extract; 30; grams; 86 kcal)
Classic French Toast (Style #96),"Golden pan-fried bread dipped in a rich, sweetened egg and dairy custard mixture.",7 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Whole milk). Step 3: Cook or assemble for 7 minutes. Step 4: Finish with remaining toppings and serve immediately.",1929,117g,234g,56g,(All-purpose flour; 100; grams; 364 kcal) | (Whole milk; 50; grams; 30 kcal) | (Large egg; 50; grams; 72 kcal) | (Sugar (granulated); 100; grams; 387 kcal) | (Butter; 150; grams; 1076 kcal)
Chicken Rice Bowl (Style #97),Lean grilled chicken breast served over fluffy white rice with a side of steamed broccoli.,23 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), White rice (uncooked)). Step 3: Cook or assemble for 23 minutes. Step 4: Finish with remaining toppings and serve immediately.",1025,52g,141g,36g,(Chicken breast (raw); 150; grams; 180 kcal) | (White rice (uncooked); 100; grams; 360 kcal) | (Broccoli; 50; grams; 17 kcal) | (Soy sauce; 50; grams; 26 kcal) | (Sesame oil; 50; grams; 442 kcal)
Ribeye Steak and Potatoes (Style #98),"A premium, juicy ribeye steak seared to perfection and paired with a fluffy baked potato.",31 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ribeye steak (raw), Russet potato). Step 3: Cook or assemble for 31 minutes. Step 4: Finish with remaining toppings and serve immediately.",1675,110g,204g,61g,(Ribeye steak (raw); 150; grams; 436 kcal) | (Russet potato; 150; grams; 118 kcal) | (Butter; 150; grams; 1076 kcal) | (Garlic; 30; grams; 45 kcal)
Cottage Cheese with Berries (Style #99),High-protein cottage cheese topped with fresh raspberries and a light honey drizzle.,5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cottage cheese, Raspberries). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",369,16g,46g,10g,(Cottage cheese; 50; grams; 49 kcal) | (Raspberries; 30; grams; 16 kcal) | (Honey; 100; grams; 304 kcal)
Baked Peaches with Honey (Style #100),"Soft, caramelized halved peaches baked with sweet honey and a touch of warm butter.",22 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Peach, Honey). Step 3: Cook or assemble for 22 minutes. Step 4: Finish with remaining toppings and serve immediately.",1400,96g,168g,38g,(Peach; 50; grams; 20 kcal) | (Honey; 100; grams; 304 kcal) | (Butter; 150; grams; 1076 kcal)
Sweet Potato Hash (Style #101),"A nutritious, comforting morning skillet filled with cubed sweet potatoes and onions.",21 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Sweet potato, Yellow onion). Step 3: Cook or assemble for 21 minutes. Step 4: Finish with remaining toppings and serve immediately.",295,18g,37g,10g,(Sweet potato; 15; grams; 13 kcal) | (Yellow onion; 30; grams; 12 kcal) | (Olive oil; 30; grams; 265 kcal) | (Bell pepper (red); 15; grams; 5 kcal)
Chicken Rice Bowl (Style #102),Lean grilled chicken breast served over fluffy white rice with a side of steamed broccoli.,21 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), White rice (uncooked)). Step 3: Cook or assemble for 21 minutes. Step 4: Finish with remaining toppings and serve immediately.",1804,94g,202g,70g,(Chicken breast (raw); 50; grams; 60 kcal) | (White rice (uncooked); 100; grams; 360 kcal) | (Broccoli; 15; grams; 5 kcal) | (Soy sauce; 100; grams; 53 kcal) | (Sesame oil; 150; grams; 1326 kcal)
Turkey Rice Casserole (Style #103),Savory ground turkey combined with wholesome brown rice and sweet green peas.,25 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ground turkey, Brown rice (uncooked)). Step 3: Cook or assemble for 25 minutes. Step 4: Finish with remaining toppings and serve immediately.",366,17g,46g,13g,(Ground turkey; 150; grams; 214 kcal) | (Brown rice (uncooked); 30; grams; 108 kcal) | (Green peas; 30; grams; 24 kcal) | (Yellow onion; 50; grams; 20 kcal)
Cottage Cheese with Berries (Style #104),High-protein cottage cheese topped with fresh raspberries and a light honey drizzle.,5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cottage cheese, Raspberries). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",152,7g,15g,5g,(Cottage cheese; 100; grams; 98 kcal) | (Raspberries; 15; grams; 8 kcal) | (Honey; 15; grams; 46 kcal)
Vanilla Berry Shortcake (Style #105),"Sweet, tender home-baked shortcake biscuits layered with berries and heavy cream.",20 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Heavy cream). Step 3: Cook or assemble for 20 minutes. Step 4: Finish with remaining toppings and serve immediately.",1239,60g,151g,48g,(All-purpose flour; 150; grams; 546 kcal) | (Heavy cream; 15; grams; 51 kcal) | (Strawberries; 50; grams; 16 kcal) | (Sugar (granulated); 50; grams; 194 kcal) | (Vanilla extract; 150; grams; 432 kcal)
Peanut Butter Banana Oats (Style #106),"Thick, creamy oatmeal swirled with rich peanut butter and sweet sliced banana.",5 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Rolled oats, Whole milk). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",1029,57g,126g,37g,(Rolled oats; 100; grams; 379 kcal) | (Whole milk; 30; grams; 18 kcal) | (Peanut butter; 100; grams; 588 kcal) | (Banana; 50; grams; 44 kcal)
Quinoa Mediterranean Bowl (Style #107),"A refreshing whole-grain bowl mixed with cucumbers, tomatoes, and zesty feta cheese.",19 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Quinoa (uncooked), Cucumber). Step 3: Cook or assemble for 19 minutes. Step 4: Finish with remaining toppings and serve immediately.",470,19g,53g,18g,(Quinoa (uncooked); 15; grams; 55 kcal) | (Cucumber; 100; grams; 15 kcal) | (Tomato; 15; grams; 3 kcal) | (Feta cheese; 50; grams; 132 kcal) | (Olive oil; 30; grams; 265 kcal)
Vegetarian Tofu Stir-Fry (Style #108),Crispy cubes of firm tofu pan-seared with fresh bell peppers and savory soy sauce.,18 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Tofu (firm), Bell pepper (red)). Step 3: Cook or assemble for 18 minutes. Step 4: Finish with remaining toppings and serve immediately.",619,44g,62g,14g,(Tofu (firm); 150; grams; 105 kcal) | (Bell pepper (red); 50; grams; 16 kcal) | (Bell pepper (green); 15; grams; 3 kcal) | (Soy sauce; 100; grams; 53 kcal) | (Vegetable oil; 50; grams; 442 kcal)
Celery and Peanut Butter (Style #109),"Crispy, refreshing celery stalks filled with rich, savory peanut butter.",7 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Celery, Peanut butter). Step 3: Cook or assemble for 7 minutes. Step 4: Finish with remaining toppings and serve immediately.",604,30g,75g,22g,(Celery; 100; grams; 16 kcal) | (Peanut butter; 100; grams; 588 kcal)
